ImageID,lightleak,pen,ruler,border,corner,blur,hair_some,hair_obscure
ISIC_0330060.jpg,4.36E-04,7.74E-04,1.07E-03,1.11E-03,1.64E-03,3.90E-02,8.52E-01,2.68E-01
ISIC_0350470.jpg,1.95E-04,1.87E-03,9.48E-01,3.12E-04,2.67E-03,1.10E-01,9.98E-01,4.49E-04
ISIC_0352620.jpg,6.61E-05,6.74E-04,2.92E-04,9.69E-01,5.12E-03,2.75E-02,1.28E-04,7.67E-06
ISIC_0358260.jpg,2.01E-03,1.69E-02,9.87E-01,1.01E-03,3.92E-02,2.90E-01,4.63E-03,8.01E-05
ISIC_0359720.jpg,6.05E-05,4.89E-04,1.53E-01,3.06E-04,2.56E-04,2.42E-02,1.52E-03,7.50E-06
ISIC_0371470.jpg,7.55E-05,3.43E-03,1.00E+00,1.94E-04,8.93E-04,2.77E-01,3.79E-03,6.95E-06
ISIC_0383780.jpg,1.91E-05,4.05E-04,2.20E-03,3.69E-04,7.05E-05,8.06E-01,1.45E-03,1.34E-05
ISIC_0389010.jpg,2.16E-06,1.31E-04,4.33E-05,7.29E-04,1.13E-05,2.01E-01,4.32E-04,2.32E-06
ISIC_0392680.jpg,8.72E-05,3.19E-04,3.82E-02,3.44E-04,7.34E-04,1.55E-02,1.69E-01,1.41E-04
ISIC_0407220.jpg,2.20E-06,2.20E-04,4.44E-03,2.02E-04,5.26E-05,7.49E-02,1.13E-04,5.15E-07
ISIC_0424070.jpg,1.69E-06,2.69E-05,1.40E-05,6.68E-03,1.18E-05,4.81E-03,3.77E-04,7.55E-06
ISIC_0426960.jpg,1.31E-04,2.76E-03,2.67E-04,5.62E-01,6.33E-03,2.11E-01,3.21E-03,4.41E-05
ISIC_0431350.jpg,4.39E-05,1.63E-03,4.99E-03,1.49E-03,2.71E-04,7.08E-02,1.18E-03,6.23E-05
ISIC_0434890.jpg,4.10E-04,5.08E-03,1.55E-04,9.88E-01,3.00E-03,3.69E-01,9.77E-01,2.06E-02
ISIC_0434920.jpg,6.03E-04,1.24E-03,2.11E-02,2.12E-03,4.58E-03,4.69E-02,9.89E-01,8.27E-03
ISIC_0457530.jpg,5.68E-05,6.87E-03,9.37E-05,9.88E-01,5.57E-04,3.68E-02,2.96E-04,1.50E-05
ISIC_0460170.jpg,3.83E-02,4.06E-02,1.44E-03,3.00E-05,1.00E+00,4.55E-02,7.15E-03,6.92E-05
ISIC_0462120.jpg,4.46E-05,2.67E-03,9.99E-01,6.66E-05,8.98E-04,3.56E-02,7.14E-04,9.43E-07
ISIC_0463800.jpg,2.23E-05,1.37E-04,1.61E-03,4.15E-04,7.66E-05,4.64E-01,4.08E-02,2.36E-04
ISIC_0474220.jpg,7.63E-05,7.07E-04,9.98E-01,2.19E-05,2.41E-04,3.87E-01,8.49E-04,1.97E-06
ISIC_0519860.jpg,2.04E-04,1.77E-02,7.36E-01,2.97E-04,9.86E-03,5.74E-01,3.51E-04,1.46E-05
ISIC_0521580.jpg,6.16E-05,1.55E-03,4.04E-01,1.43E-04,9.94E-04,7.04E-01,4.77E-04,4.48E-06
ISIC_0537310.jpg,3.28E-05,5.91E-04,7.15E-03,5.93E-04,1.61E-04,5.61E-01,4.09E-04,8.76E-06
ISIC_0537430.jpg,9.55E-02,9.94E-01,7.36E-03,1.37E-02,9.95E-01,1.13E-01,8.21E-01,1.06E-02
ISIC_0555540.jpg,2.96E-01,9.60E-01,2.25E-02,2.69E-02,9.47E-01,4.86E-01,6.26E-01,2.75E-01
ISIC_0557850.jpg,7.99E-05,1.24E-03,1.28E-02,5.17E-04,3.13E-04,3.73E-01,1.47E-03,2.54E-05
ISIC_0565070.jpg,8.70E-07,1.97E-04,1.00E+00,5.24E-07,7.81E-06,4.71E-01,2.83E-04,3.26E-08
ISIC_0574930.jpg,2.21E-04,4.16E-03,1.00E+00,3.66E-05,2.22E-02,8.07E-01,3.50E-03,4.35E-06
ISIC_0579350.jpg,1.24E-02,8.88E-03,3.94E-03,1.46E-02,2.98E-02,2.09E-01,1.42E-01,9.82E-01
ISIC_0598190.jpg,1.03E-03,2.93E-03,2.24E-01,2.26E-03,6.75E-03,7.50E-01,4.68E-03,2.59E-04
ISIC_0600710.jpg,2.07E-05,5.21E-02,7.27E-01,1.38E-04,1.76E-04,1.03E-01,1.05E-04,1.34E-06
ISIC_0602170.jpg,2.57E-05,9.07E-04,1.00E+00,1.93E-05,9.37E-04,3.69E-01,5.05E-04,4.15E-07
ISIC_0608330.jpg,2.86E-06,1.06E-04,5.67E-02,3.62E-05,1.27E-05,7.19E-02,3.50E-04,2.31E-06
ISIC_0609220.jpg,3.94E-04,3.10E-04,4.30E-02,7.13E-04,2.76E-03,1.83E-01,9.26E-01,6.41E-03
ISIC_0609770.jpg,3.92E-07,2.26E-05,3.91E-03,7.12E-05,2.12E-06,1.40E-02,7.14E-05,2.97E-07
ISIC_0611390.jpg,8.68E-03,9.14E-03,1.03E-03,9.18E-01,1.09E-02,3.68E-01,4.98E-01,8.03E-01
ISIC_0616900.jpg,1.46E-05,7.31E-04,1.00E+00,3.24E-06,1.50E-04,1.57E-01,9.24E-04,7.41E-07
ISIC_0623650.jpg,6.04E-04,1.60E-03,7.66E-04,9.73E-01,2.65E-03,8.13E-01,9.64E-01,1.36E-02
ISIC_0636920.jpg,2.46E-05,1.78E-05,7.19E-04,2.57E-03,1.34E-04,6.13E-01,9.73E-01,7.36E-04
ISIC_0645560.jpg,1.05E-04,1.27E-03,2.81E-04,9.87E-01,3.46E-04,8.40E-01,9.94E-01,9.32E-03
ISIC_0650090.jpg,2.14E-04,5.31E-04,1.10E-03,8.48E-04,5.62E-03,6.87E-02,4.95E-03,1.57E-04
ISIC_0654120.jpg,8.41E-05,9.30E-04,2.33E-04,9.82E-01,7.50E-04,1.35E-01,9.93E-01,4.99E-03
ISIC_0665430.jpg,1.61E-06,1.47E-04,1.00E+00,1.06E-06,9.40E-06,4.95E-01,4.10E-04,1.04E-07
ISIC_0669360.jpg,7.16E-03,1.14E-03,1.29E-03,8.74E-04,9.56E-01,6.80E-01,8.25E-01,2.22E-03
ISIC_0673970.jpg,3.24E-05,8.32E-05,1.19E-05,1.94E-03,3.85E-04,3.44E-01,7.06E-01,2.83E-01
ISIC_0677660.jpg,1.83E-04,9.91E-03,9.62E-01,4.42E-04,3.63E-03,7.55E-01,1.31E-03,2.96E-05
ISIC_0681410.jpg,3.95E-05,1.91E-04,1.76E-02,2.55E-04,1.63E-03,8.22E-01,9.90E-01,3.60E-04
ISIC_0682960.jpg,1.00E-04,9.70E-04,1.32E-01,3.26E-04,2.61E-04,1.89E-01,1.53E-03,1.84E-05
ISIC_0695000.jpg,3.32E-02,1.16E-02,1.70E-03,1.45E-03,7.07E-01,3.04E-01,2.75E-01,8.86E-01
ISIC_0703440.jpg,1.46E-06,7.30E-05,9.99E-01,1.34E-06,8.13E-06,9.95E-02,1.14E-04,1.15E-07
ISIC_0710840.jpg,2.22E-04,9.92E-04,8.97E-05,9.67E-01,3.87E-03,4.93E-01,4.08E-04,2.03E-04
ISIC_0714540.jpg,3.72E-06,6.98E-05,2.99E-03,2.26E-04,1.75E-05,1.09E-01,2.15E-04,4.31E-06
ISIC_0716650.jpg,5.37E-04,2.70E-03,3.71E-02,1.17E-03,2.67E-03,4.56E-01,4.44E-02,4.31E-04
ISIC_0720050.jpg,1.13E-02,3.04E-02,8.83E-01,2.15E-03,7.82E-02,2.95E-01,9.06E-01,8.09E-03
ISIC_0760260.jpg,1.71E-05,3.41E-04,9.99E-01,2.98E-05,7.74E-05,4.16E-01,9.71E-01,8.41E-05
ISIC_0773190.jpg,5.01E-04,4.80E-03,4.43E-04,9.76E-01,6.62E-03,4.04E-01,1.94E-03,5.30E-04
ISIC_0784160.jpg,5.35E-06,4.61E-05,4.18E-03,8.51E-05,5.41E-05,1.01E-01,4.91E-04,9.09E-07
ISIC_0785830.jpg,3.40E-06,1.47E-04,2.60E-04,4.19E-04,2.18E-05,1.52E-01,8.52E-04,1.36E-05
ISIC_0788550.jpg,1.47E-04,2.63E-04,5.46E-04,7.80E-03,8.66E-04,4.51E-02,7.66E-03,2.22E-04
ISIC_0801740.jpg,6.71E-05,4.94E-04,2.97E-02,2.50E-04,4.84E-04,3.05E-01,7.53E-02,2.24E-04
ISIC_0803310.jpg,1.46E-05,5.52E-04,5.32E-01,1.94E-04,3.76E-05,6.40E-01,1.54E-03,1.55E-05
ISIC_0824050.jpg,3.20E-04,1.46E-03,9.99E-01,8.55E-05,8.56E-03,4.37E-02,9.90E-01,7.81E-05
ISIC_0844930.jpg,6.27E-05,2.58E-04,6.43E-01,8.05E-05,5.12E-03,3.35E-02,1.00E+00,1.29E-04
ISIC_0881100.jpg,5.23E-04,1.02E-02,3.60E-04,9.84E-01,2.37E-03,5.54E-01,1.53E-03,2.57E-04
ISIC_0908910.jpg,1.24E-01,8.74E-01,1.43E-02,3.20E-02,9.83E-01,3.18E-01,2.31E-02,9.50E-03
ISIC_0946870.jpg,4.68E-05,7.18E-04,5.78E-01,1.22E-04,1.90E-03,1.22E-01,9.90E-01,3.31E-04
ISIC_0955990.jpg,4.76E-04,1.76E-03,2.77E-04,9.66E-01,3.25E-03,6.34E-01,5.29E-02,1.51E-03
ISIC_0960920.jpg,3.33E-05,3.80E-04,9.76E-01,1.10E-04,4.54E-04,7.14E-02,9.97E-01,9.02E-05
ISIC_0963700.jpg,7.87E-06,1.82E-04,9.11E-04,1.71E-03,3.70E-05,8.07E-01,5.47E-03,4.83E-05
ISIC_0964240.jpg,7.59E-03,3.86E-02,6.13E-03,9.68E-01,3.81E-02,2.09E-01,5.66E-02,9.91E-03
ISIC_0977840.jpg,1.88E-03,1.68E-02,6.90E-01,1.22E-02,4.65E-03,4.24E-02,2.75E-02,1.71E-03
ISIC_1002860.jpg,2.03E-03,1.51E-03,4.41E-04,1.43E-05,9.97E-01,2.74E-01,2.53E-04,4.41E-06
ISIC_1007680.jpg,1.73E-02,7.22E-02,9.98E-01,5.67E-05,9.13E-01,2.48E-01,2.42E-02,9.05E-05
ISIC_1010820.jpg,8.17E-05,9.64E-04,1.36E-02,1.83E-04,1.47E-03,8.29E-02,1.05E-03,9.76E-06
ISIC_1020690.jpg,1.08E-03,8.15E-03,1.94E-03,9.84E-01,7.97E-03,1.35E-01,4.40E-01,3.34E-03
ISIC_1046880.jpg,1.63E-03,7.31E-01,1.81E-01,4.52E-03,9.48E-03,5.53E-01,4.47E-03,1.74E-04
ISIC_1055510.jpg,5.50E-02,9.87E-01,3.43E-01,7.81E-02,6.48E-01,1.31E-01,5.47E-03,1.67E-03
ISIC_1061980.jpg,1.10E-04,9.71E-05,4.20E-04,1.46E-03,2.65E-04,4.81E-01,1.94E-01,3.50E-03
ISIC_1064590.jpg,7.79E-03,1.66E-03,6.89E-05,1.23E-04,9.99E-01,3.22E-01,1.14E-03,2.23E-05
ISIC_1071730.jpg,6.59E-04,1.00E+00,4.39E-03,9.38E-01,5.22E-03,3.84E-02,4.01E-04,2.09E-05
ISIC_1081390.jpg,4.50E-05,2.10E-04,9.53E-05,5.86E-03,6.88E-04,7.73E-01,8.74E-04,5.91E-05
ISIC_1086280.jpg,5.78E-03,1.00E+00,5.03E-05,4.25E-05,1.00E+00,7.53E-02,8.35E-04,7.31E-08
ISIC_1111490.jpg,4.09E-05,2.83E-03,1.87E-04,9.84E-01,1.18E-04,3.85E-01,8.06E-04,8.85E-05
ISIC_1115450.jpg,7.93E-07,9.37E-05,1.00E+00,3.38E-07,5.48E-06,3.15E-01,7.19E-05,3.80E-08
ISIC_1120310.jpg,7.62E-06,3.42E-04,5.72E-03,5.77E-04,6.92E-05,2.87E-02,2.14E-02,2.04E-05
ISIC_1123720.jpg,3.32E-05,3.53E-04,3.69E-02,9.87E-05,2.22E-04,1.49E-01,2.35E-03,7.12E-06
ISIC_1174480.jpg,3.88E-04,6.54E-03,1.09E-02,2.26E-03,2.99E-03,9.29E-01,4.17E-03,5.01E-04
ISIC_1176670.jpg,3.15E-05,1.09E-04,1.39E-04,4.63E-03,3.47E-04,8.17E-01,1.31E-03,3.74E-05
ISIC_1176730.jpg,4.89E-04,3.25E-02,4.87E-04,9.89E-01,3.65E-03,6.27E-02,4.06E-03,6.02E-04
ISIC_1183370.jpg,1.80E-05,2.56E-04,2.62E-04,2.54E-03,1.31E-04,5.85E-01,1.11E-03,2.12E-05
ISIC_1189120.jpg,2.66E-03,1.82E-02,1.00E+00,5.42E-04,1.66E-01,3.57E-01,6.56E-01,1.15E-04
ISIC_1208410.jpg,1.10E-03,6.78E-03,9.89E-01,9.95E-05,2.69E-01,1.89E-01,9.96E-01,2.82E-04
ISIC_1217400.jpg,1.16E-05,4.11E-04,9.99E-01,1.22E-04,5.50E-05,7.86E-01,5.41E-04,1.69E-06
ISIC_1252180.jpg,6.14E-06,2.06E-04,1.58E-04,4.22E-04,1.32E-04,6.51E-01,5.92E-04,3.01E-06
ISIC_1252290.jpg,9.56E-04,1.13E-02,7.56E-04,9.64E-01,1.39E-02,2.05E-01,3.32E-03,9.21E-04
ISIC_1295270.jpg,9.11E-06,1.41E-04,3.49E-04,7.32E-04,2.47E-05,5.19E-01,1.34E-03,5.40E-05
ISIC_1330140.jpg,8.97E-06,2.60E-04,1.14E-04,1.39E-03,1.06E-04,6.83E-01,1.07E-03,6.62E-06
ISIC_1330680.jpg,2.74E-04,1.05E-03,1.30E-04,9.75E-01,8.90E-03,3.27E-01,4.48E-04,1.25E-04
ISIC_1335280.jpg,8.11E-06,2.08E-04,6.41E-03,1.08E-04,4.67E-05,3.88E-01,3.77E-04,1.15E-05
ISIC_1371230.jpg,2.27E-04,2.46E-03,9.97E-01,1.13E-04,4.96E-04,5.63E-02,2.58E-03,7.59E-06
ISIC_1373840.jpg,4.06E-03,9.48E-03,9.91E-01,2.49E-03,4.76E-02,2.47E-01,9.70E-01,1.90E-03
ISIC_1377690.jpg,9.25E-04,5.34E-03,9.99E-01,2.72E-05,2.40E-02,3.82E-01,2.46E-03,9.43E-06
ISIC_1379570.jpg,8.88E-04,3.11E-02,3.51E-01,2.53E-03,1.28E-02,7.04E-01,1.37E-03,6.60E-05
ISIC_1380210.jpg,1.09E-06,2.41E-05,4.33E-06,2.29E-03,2.00E-05,4.85E-03,9.49E-05,2.38E-06
ISIC_1381020.jpg,1.54E-04,2.84E-03,9.98E-01,1.71E-04,1.53E-03,2.08E-02,2.88E-03,7.25E-06
ISIC_1383050.jpg,6.55E-04,1.99E-03,7.36E-01,3.43E-04,3.05E-03,9.21E-02,9.88E-01,2.19E-03
ISIC_1399260.jpg,8.51E-07,4.02E-05,1.97E-04,9.18E-05,1.05E-05,6.39E-02,1.78E-04,3.62E-06
ISIC_1404760.jpg,1.19E-03,8.02E-04,3.98E-04,2.45E-02,1.95E-03,4.31E-01,5.03E-01,9.46E-01
ISIC_1406000.jpg,3.35E-07,1.39E-05,1.33E-04,1.23E-04,1.08E-06,3.55E-01,3.56E-04,2.10E-06
ISIC_1408400.jpg,2.64E-04,1.05E-02,1.23E-02,5.03E-02,1.15E-03,7.83E-01,4.24E-03,4.53E-04
ISIC_1426190.jpg,7.29E-06,2.53E-04,1.27E-02,7.42E-05,2.90E-05,7.04E-01,3.80E-04,1.84E-06
ISIC_1427970.jpg,2.21E-04,2.05E-03,2.65E-01,1.10E-03,1.23E-03,9.27E-01,2.06E-01,4.72E-04
ISIC_1429860.jpg,4.64E-06,1.08E-04,7.38E-04,7.47E-04,2.46E-05,1.40E-01,2.95E-04,9.61E-06
ISIC_1434910.jpg,1.50E-04,5.54E-04,1.48E-01,2.57E-04,1.09E-03,9.27E-02,9.66E-04,1.52E-05
ISIC_1436510.jpg,1.59E-06,2.80E-05,6.70E-05,1.21E-03,3.06E-05,9.15E-01,8.00E-01,1.46E-04
ISIC_1439030.jpg,1.58E-04,3.33E-04,1.48E-03,2.33E-03,1.30E-03,7.62E-01,4.12E-03,1.91E-04
ISIC_1439170.jpg,2.01E-04,2.19E-03,2.33E-03,5.93E-04,2.01E-02,7.95E-01,1.34E-03,2.48E-05
ISIC_1440160.jpg,8.78E-05,2.92E-03,6.78E-04,9.38E-01,1.98E-03,2.18E-02,9.55E-04,6.84E-05
ISIC_1453620.jpg,2.00E-04,3.10E-03,9.99E-01,2.20E-04,1.86E-03,4.58E-01,1.89E-03,9.06E-06
ISIC_1455340.jpg,8.89E-06,3.14E-04,3.33E-04,1.18E-03,5.28E-05,8.73E-01,4.33E-04,3.48E-05
ISIC_1458550.jpg,2.07E-05,1.08E-03,7.99E-01,1.16E-04,7.37E-05,8.17E-02,6.05E-04,4.91E-06
ISIC_1462390.jpg,2.81E-05,3.88E-04,2.95E-03,1.38E-03,4.00E-04,4.98E-01,9.82E-01,1.27E-03
ISIC_1472690.jpg,1.66E-03,1.59E-03,1.08E-02,6.36E-03,3.53E-02,4.22E-02,7.03E-01,2.86E-03
ISIC_1472890.jpg,8.84E-06,1.75E-04,1.16E-03,1.81E-04,5.15E-05,3.61E-01,1.56E-03,4.72E-06
ISIC_1486500.jpg,3.91E-07,9.93E-05,9.99E-01,2.07E-05,4.62E-06,1.78E-02,5.18E-04,6.01E-08
ISIC_1490310.jpg,1.06E-05,2.17E-04,2.90E-05,9.96E-01,1.59E-04,1.76E-01,8.81E-01,1.95E-04
ISIC_1491380.jpg,3.59E-03,4.17E-03,3.12E-04,5.86E-06,1.00E+00,1.35E-01,2.15E-03,7.43E-06
ISIC_1493810.jpg,1.70E-04,9.16E-04,1.18E-01,7.01E-04,8.60E-04,8.28E-02,2.55E-01,2.74E-04
ISIC_1499220.jpg,1.19E-05,1.14E-02,8.94E-03,5.89E-04,8.92E-05,1.16E-01,1.33E-04,3.81E-06
ISIC_1510820.jpg,1.02E-05,9.73E-05,1.86E-04,7.12E-03,1.12E-04,8.26E-01,9.79E-01,8.58E-04
ISIC_1519960.jpg,5.71E-05,4.35E-04,5.51E-02,2.21E-04,1.97E-04,6.22E-01,4.91E-02,1.75E-04
ISIC_1524620.jpg,2.33E-05,2.71E-04,1.00E+00,8.47E-05,3.77E-04,1.24E-01,7.46E-04,6.15E-07
ISIC_1536840.jpg,1.05E-04,8.29E-04,4.39E-05,9.93E-01,3.14E-04,1.87E-01,9.87E-01,9.33E-03
ISIC_1554000.jpg,2.20E-05,5.51E-04,1.00E-03,4.65E-03,6.46E-05,2.14E-02,5.73E-04,1.21E-05
ISIC_1571910.jpg,1.04E-05,1.33E-03,1.43E-05,9.89E-01,1.26E-04,1.43E-01,1.70E-04,5.68E-06
ISIC_1576440.jpg,1.41E-05,5.20E-05,6.54E-04,9.32E-04,2.13E-04,4.07E-01,7.63E-01,8.80E-04
ISIC_1586360.jpg,2.98E-05,5.04E-04,1.60E-03,9.98E-04,1.79E-04,1.77E-01,2.98E-03,7.98E-05
ISIC_1589060.jpg,5.25E-03,9.70E-03,9.94E-01,2.93E-03,3.44E-02,4.23E-01,4.70E-01,1.31E-03
ISIC_1600890.jpg,3.94E-05,3.71E-04,8.90E-01,2.88E-05,1.85E-04,1.03E-01,2.30E-03,2.72E-06
ISIC_1613780.jpg,1.41E-04,8.75E-04,9.99E-01,1.29E-04,1.84E-02,1.40E-01,9.53E-01,1.54E-05
ISIC_1637450.jpg,2.37E-05,1.70E-04,5.70E-03,3.80E-04,4.88E-04,3.46E-01,4.05E-04,4.54E-06
ISIC_1642210.jpg,3.96E-05,2.89E-04,5.90E-04,9.70E-04,4.43E-04,7.56E-01,1.65E-03,3.31E-05
ISIC_1643380.jpg,2.73E-07,1.37E-04,2.74E-05,9.55E-01,1.52E-06,7.43E-03,4.24E-05,3.90E-07
ISIC_1645390.jpg,1.60E-04,6.71E-04,2.23E-03,4.12E-03,3.13E-03,1.37E-01,7.10E-04,7.95E-05
ISIC_1649760.jpg,5.17E-03,5.02E-02,1.00E+00,8.37E-04,1.24E-01,1.22E-01,9.41E-01,4.43E-04
ISIC_1657960.jpg,3.53E-04,2.63E-03,8.68E-01,6.55E-04,4.15E-03,3.71E-02,2.84E-03,2.74E-05
ISIC_1658310.jpg,8.87E-07,4.43E-05,2.50E-04,1.15E-04,7.52E-06,6.43E-01,3.15E-04,3.16E-06
ISIC_1683990.jpg,9.46E-06,2.37E-04,2.97E-04,7.11E-04,1.35E-04,3.72E-01,4.71E-04,4.23E-06
ISIC_1684260.jpg,1.69E-02,1.48E-02,1.35E-02,3.71E-01,1.99E-02,5.95E-01,8.40E-01,4.17E-01
ISIC_1687730.jpg,1.60E-04,2.51E-03,9.99E-01,1.19E-04,1.37E-03,6.12E-02,2.75E-03,6.32E-06
ISIC_1700520.jpg,3.83E-05,5.69E-04,9.99E-01,9.13E-05,3.77E-04,3.84E-01,5.06E-04,2.18E-06
ISIC_1721280.jpg,6.02E-07,1.75E-05,6.14E-04,6.43E-04,1.79E-05,4.66E-02,9.76E-01,2.56E-05
ISIC_1746690.jpg,2.07E-04,1.95E-03,2.45E-04,9.52E-01,2.53E-03,6.69E-01,9.93E-04,2.73E-04
ISIC_1747010.jpg,4.12E-06,4.75E-04,1.00E+00,1.99E-05,8.48E-05,2.04E-01,8.99E-04,3.50E-07
ISIC_1749390.jpg,2.47E-05,4.75E-04,1.30E-02,2.25E-04,6.96E-05,4.72E-01,1.38E-03,1.02E-05
ISIC_1790730.jpg,5.65E-05,1.16E-04,4.78E-03,1.54E-04,2.52E-03,3.56E-01,1.91E-03,1.10E-05
ISIC_1806150.jpg,1.18E-04,1.79E-03,9.97E-01,6.74E-05,1.72E-04,2.59E-02,7.39E-03,6.02E-06
ISIC_1809790.jpg,1.40E-05,1.81E-04,4.64E-04,1.01E-03,1.11E-04,1.74E-02,5.77E-04,1.13E-05
ISIC_1812060.jpg,1.06E-01,5.68E-02,2.04E-03,5.51E-03,9.97E-01,1.90E-01,1.70E-02,4.66E-03
ISIC_1822720.jpg,1.90E-03,9.99E-01,3.16E-03,9.54E-01,9.83E-03,1.49E-01,1.45E-03,8.43E-05
ISIC_1837240.jpg,2.04E-06,5.09E-05,6.55E-04,3.53E-04,9.38E-06,6.30E-01,1.78E-04,4.89E-06
ISIC_1841330.jpg,3.05E-05,8.17E-04,6.53E-04,2.88E-03,1.37E-04,3.24E-02,8.95E-04,9.43E-05
ISIC_1841540.jpg,7.91E-05,5.77E-04,2.88E-04,1.19E-03,1.10E-03,1.55E-01,1.18E-01,7.63E-04
ISIC_1845160.jpg,1.46E-02,1.06E-02,2.56E-03,6.68E-04,9.93E-01,4.85E-01,4.55E-03,2.51E-04
ISIC_1845560.jpg,6.39E-04,1.89E-03,1.48E-04,9.29E-01,1.23E-03,3.74E-01,9.38E-01,1.48E-01
ISIC_1847600.jpg,1.70E-05,4.22E-04,1.38E-03,5.57E-04,1.60E-04,8.75E-01,1.35E-03,4.53E-05
ISIC_1849240.jpg,5.52E-04,4.91E-02,9.98E-01,7.25E-04,4.04E-03,3.35E-01,6.37E-03,3.74E-05
ISIC_1855110.jpg,1.60E-04,1.66E-03,1.44E-02,1.14E-03,9.08E-04,4.65E-01,1.24E-03,3.60E-05
ISIC_1861560.jpg,9.38E-04,2.67E-03,1.61E-04,2.72E-04,9.83E-01,3.24E-01,3.26E-04,5.30E-06
ISIC_1862370.jpg,1.12E-05,2.18E-04,1.17E-02,1.31E-04,3.10E-05,2.44E-01,7.65E-04,3.84E-06
ISIC_1869410.jpg,4.46E-06,1.25E-04,9.99E-01,2.33E-05,5.86E-05,8.74E-02,9.64E-05,1.25E-07
ISIC_1892060.jpg,1.85E-04,7.15E-04,1.34E-03,9.64E-01,2.44E-03,1.31E-01,9.67E-01,7.18E-04
ISIC_1899160.jpg,3.40E-05,1.35E-03,1.00E+00,9.65E-05,1.11E-03,1.37E-01,1.69E-03,1.99E-06
ISIC_1901270.jpg,2.79E-04,3.12E-03,1.97E-04,9.77E-01,1.47E-03,2.84E-01,1.84E-03,2.03E-04
ISIC_1905650.jpg,5.89E-06,6.51E-04,1.00E+00,3.49E-06,2.91E-05,1.23E-01,7.82E-04,2.70E-07
ISIC_1907520.jpg,2.16E-05,1.30E-04,1.67E-04,1.21E-03,1.99E-04,7.56E-01,9.31E-04,2.88E-05
ISIC_1915940.jpg,2.50E-05,4.54E-04,7.11E-03,4.95E-04,1.69E-04,7.64E-01,9.32E-04,3.99E-05
ISIC_1925250.jpg,1.13E-02,8.04E-03,1.35E-02,3.72E-04,9.95E-01,1.06E-01,1.23E-01,2.55E-04
ISIC_1928950.jpg,2.11E-06,6.58E-05,1.32E-02,5.26E-05,9.99E-06,2.52E-02,2.67E-04,2.57E-06
